Camera,X,Y,Veg_type,Loc_dist,scrub,Goats
C1T2P1,693084,2009327,Selva,4718,971,no
C1T2P21,693961,2009940,Selva,4655,999,no
C1T6P1,692479,2010184,Selva,4187,982,no
C3T3P21,692934,2007423,Selva,4233,580,no
C4T2P1,695419,2009578,Selva,3838,0,no
C4T2P21,694603,2008988,Pastizal,3991,0,no
CB07,695110,2007581,Pastizal,3133,0,si
CB14,691806,2008761,Pastizal,2223,29,no
CB17,690914,2008926,Agricultura,4302,360,si
CB18,691396,2007831,Pastizal,3876,228,si
CB18P14,694112,2007652,Pastizal,3876,29,si
CB18P15,693883,2006474,Selva,4233,580,no
CB18P28,692534,2006654,Selva,3855,0,no
CB18P30,695790,2008315,Agricultura,2000,10,si
CB18P32,696367,2007499,Agricultura,4718,671,si
CB19,691546,2006699,Selva,4655,98,no
CB19CH1,696733,2007503,Selva,4187,768,si
CB19CH3,696089,2006806,Selva,4233,380,no
CB19CH4,695656,2009170,Selva,3838,0,si
CB19CH5,695632,2006975,Pastizal,3991,0,si
CB19CH6,697131,2007045,Pastizal,3133,10,si
CB19CH7,693820,2008063,Pastizal,2223,290,si
CB19P2,693424,2008439,Agricultura,4302,360,si
CB21,695027,2010516,Pastizal,3876,228,no